destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
Port Everglades (USPEF),USPEF,Port Everglades (USPEF),Port Everglades (USPEF),Port Everglades (USPEF),4795.0,4820.0,5000.0,5400.0,5960.0,5035.0,4795.0,5960.0,1165.0,24.29614181438999,AiresDS,4820.0,5400.0,580.0,12.033195020746888,AiresDS,3,exact
New York (USNYC),USNYC,New York (USNYC),New York (USNYC),New York (USNYC),4795.0,4820.0,5250.0,5800.0,5955.0,6045.0,4795.0,5955.0,1160.0,24.191866527632953,AiresDS,4820.0,6045.0,1225.0,25.414937759336098,AiresDS,3,exact
San Antonio (CLSAI),CLSAI,San Antonio (CLSAI),San Antonio (CLSAI),San Antonio (CLSAI),3616.0,3961.0,3950.0,4500.0,4470.0,4870.0,3616.0,4470.0,854.0,23.61725663716814,AiresDS,3961.0,4870.0,909.0,22.948750315576874,AiresDS,3,exact
Malaga (ESAGP),ESAGP,Malaga (ESAGP),Malaga (ESAGP),Malaga (ESAGP),2963.0,3804.0,2400.0,2800.0,,,2400.0,2963.0,563.0,23.458333333333332,FCL,2800.0,3804.0,1004.0,35.85714285714286,FCL,3,exact
Vancouver (CAVAN),CAVAN,Vancouver (CAVAN),Vancouver (CAVAN),Vancouver (CAVAN),4854.0,5184.0,5950.0,6450.0,,,4854.0,5950.0,1096.0,22.57931602801813,AiresDS,5184.0,6450.0,1266.0,24.421296296296298,AiresDS,3,exact
Budapest (HUBUD),HUBUD,,Budapest (HUBUD),Budapest (HUBUD),,,3050.0,4450.0,2510.0,2930.0,2510.0,3050.0,540.0,21.51394422310757,Silver,2930.0,4450.0,1520.0,51.877133105802045,Silver,2,fuzzy
Jacksonville FL (USJAX) / Jacksonville (USJAX),USJAX,Jacksonville FL (USJAX),Jacksonville (USJAX),Jacksonville,4795.0,4820.0,5800.0,6000.0,5750.0,6020.0,4795.0,5800.0,1005.0,20.959332638164753,AiresDS,4820.0,6020.0,1200.0,24.896265560165975,AiresDS,3,fuzzy
Montoir DE BRETAGNE (FRMTX) / Montoir de Bretagne (FRMTX),FRMTX,Montoir DE BRETAGNE (FRMTX),Montoir de Bretagne (FRMTX),,2319.0,3257.0,2800.0,3350.0,,,2319.0,2800.0,481.0,20.741699008193187,AiresDS,3257.0,3350.0,93.0,2.855388394227817,AiresDS,2,fuzzy
"Busan, KR - KRPUS",KRPUS,,"Busan, KR - KRPUS","Busan, KR - KRPUS",,,2150.0,2300.0,2500.0,2700.0,2150.0,2500.0,350.0,16.27906976744186,FCL,2300.0,2700.0,400.0,17.391304347826086,FCL,2,fuzzy
Pittsburgh (inland) / Pittsburg (USPIT),USPIT,,Pittsburg (USPIT),Pittsburgh (inland),,,5900.0,6750.0,6790.0,6961.0,5900.0,6790.0,890.0,15.084745762711865,FCL,6750.0,6961.0,211.0,3.1259259259259258,FCL,2,fuzzy
Long Beach CA (USLGB) / Long Beach (USLGB),USLGB,,Long Beach (USLGB),Long Beach CA (USLGB),,,5900.0,7500.0,5135.0,5385.0,5135.0,5900.0,765.0,14.897760467380722,Silver,5385.0,7500.0,2115.0,39.27576601671309,Silver,2,fuzzy
Roma (ITRMX),ITRMX,,Roma (ITRMX),Roma (ITRMX),,,3250.0,3450.0,3715.0,4300.0,3250.0,3715.0,465.0,14.307692307692307,FCL,3450.0,4300.0,850.0,24.637681159420293,FCL,2,fuzzy
Detroit (USDET),USDET,,Detroit (USDET),Detroit (USDET),,,7800.0,8150.0,6890.0,7110.0,6890.0,7800.0,910.0,13.20754716981132,Silver,7110.0,8150.0,1040.0,14.627285513361462,Silver,2,fuzzy
Perth (AUPER),AUPER,,Perth (AUPER),Perth (AUPER),,,5100.0,5450.0,4580.0,5115.0,4580.0,5100.0,520.0,11.353711790393014,Silver,5115.0,5450.0,335.0,6.549364613880742,Silver,2,fuzzy
Salvador (BRSSA),BRSSA,,Salvador (BRSSA),Salvador (BRSSA),,,2300.0,2500.0,2550.0,2350.0,2300.0,2550.0,250.0,10.869565217391305,FCL,2350.0,2500.0,150.0,6.382978723404255,Silver,2,fuzzy
La Guaira / La Guaira (VELAG),VELAG,La Guaira (VELAG),La Guaira (VELAG),La Guaira,5293.0,5782.0,4850.0,5600.0,,,4850.0,5293.0,443.0,9.1340206185567,FCL,5600.0,5782.0,182.0,3.25,FCL,3,fuzzy
